provider_id,agency_name,street_address,city,state,zip_code,total_episodes_non_lupa,distinct_beneficiaries_non_lupa,average_number_of_total_visits_per_episode_non_lupa,average_number_of_skilled_nursing_visits_per_episode_non_lupa,average_number_of_pt_visits_per_episode_non_lupa,average_number_of_ot_visits_per_episode_non_lupa,average_number_of_st_visits_per_episode_non_lupa,average_number_of_home_health_aide_visits_per_episode_non_lupa,average_number_of_medical_social_visits_per_episode_non_lupa,total_hha_charge_amount_non_lupa,total_hha_medicare_payment_amount_non_lupa,total_hha_medicare_standard_payment_amount_non_lupa,outlier_payments_as_a_percent_of_medicare_payment_amount_non_lupa,total_lupa_episodes,total_hha_medicare_payment_amount_for_lupas,average_age,male_beneficiaries,female_beneficiaries,nondual_beneficiaries,dua_beneficiaries,white_beneficiaries,black_beneficiaries,asian_pacific_islander_beneficiaries,hispanic_beneficiaries,american_indian_or_alaska_native_beneficiaries,other_unknown_beneficiaries,average_hcc_score,percent_of_beneficiaries_with_atrial_fibrillation,percent_of_beneficiaries_with_alzheimers,percent_of_beneficiaries_with_asthma,percent_of_beneficiaries_with_cancer,percent_of_beneficiaries_with_chf,percent_of_beneficiaries_with_chronic_kidney_disease,percent_of_beneficiaries_with_copd,percent_of_beneficiaries_with_depression,percent_of_beneficiaries_with_diabetes,percent_of_beneficiaries_with_hyperlipidemia,percent_of_beneficiaries_with_hypertension,percent_of_beneficiaries_with_ihd,percent_of_beneficiaries_with_osteoporosis,percent_of_beneficiaries_with_ra_oa,percent_of_beneficiaries_with_schizophrenia,percent_of_beneficiaries_with_stroke
58330,"DIVINE HOME HEALTH, INC",14625 CARMENITA ROAD SUITE 228,NORWALK,CA,90650,681,486,13.4,9.8,2.7,0.1,0.0,0.8,0.0,1368276,2217148,1787361,6.5,31,12912,80,139,347,55,431,35,,407,26,,17,2.0,9,39,15,8,30,39,16,21,74,70,,57,44,72,4,8
58376,"ORANGE COUNTY CARE PROVIDERS, INC",14700 E FIRESTONE BLVD SUITE 128,LA MIRADA,CA,90638,614,293,18.0,12.8,4.3,0.1,0.1,0.7,0.0,1652285,2137998,1747600,6.2,44,16321,82,97,196,92,201,189,,63,,,28,2.74,24,46,19,16,45,51,37,49,49,72,,54,19,67,7,12
147844,"ALERT HOME HEALTH CARE, INC","8118 N MILWAUKEE AVENUE, STE 109",NILES,IL,60714,501,197,10.4,7.5,1.5,0.1,0.0,1.3,0.0,669226,1189842,1165889,0.0,43,11642,79,58,139,81,116,149,,17,,,13,2.16,23,27,20,9,52,32,28,39,68,73,,68,23,,3,10
227290,"SUBURBAN HOME HEALTH CARE, INC",1050 COMMONWEALTH AVE,BOSTON,MA,2115,1466,696,31.9,17.2,4.6,0.5,0.2,9.5,0.0,5856605,5549658,4418284,8.8,58,23848,82,203,493,117,579,476,31,108,,,71,2.25,28,33,14,14,48,49,16,40,54,64,,63,16,62,10,7
747139,KOREAN HOME HEALTH,1908 ROYAL LANE SUITE 100,DALLAS,TX,75229,1691,419,15.0,8.3,1.8,0.1,0.0,4.7,0.0,3811831,3725304,3914596,0.0,24,8595,78,146,273,75,344,,,384,,,17,1.5,6,31,12,4,28,31,16,16,53,,,33,35,74,2,6
58247,BLUE STAR HOME HEALTH INC,20953 DEVONSHIRE BLVD SUITE 3,CHATSWORTH,CA,91311,544,275,12.5,8.3,3.2,0.3,0.0,0.7,0.0,1184245,1564140,1312765,1.5,36,12920,71,125,150,112,163,166,17,22,65,,,2.13,12,19,17,9,31,37,25,46,42,66,,43,16,56,31,9
59046,"CALIFORNIA'S BEST HOME HEALTH SERVICES, INC","1900 E LA PALMA AVE, SUITE 204",ANAHEIM,CA,92805,430,349,16.7,10.6,5.4,0.3,0.1,0.3,0.0,1009248,1494424,1266785,4.4,25,9146,74,150,199,167,182,191,13,52,84,,,2.32,17,27,15,13,35,47,27,36,48,64,,49,19,64,14,17
59105,"MAXIMUM CARE PROVIDERS, INC","55 E. HUNTINGTON DRIVE, STE. 320",ARCADIA,CA,91006,454,241,16.2,12.2,3.6,0.1,0.1,0.2,0.0,1036215,1633790,1316761,6.3,25,9843,74,93,148,52,189,102,38,32,65,,,2.22,8,50,17,9,44,41,38,54,54,66,,66,34,63,35,13
557523,MERCY HOME CARE,2740 M STREET,MERCED,CA,95340,419,318,12.6,7.9,4.0,0.0,0.0,0.7,0.0,2737386,1264036,1064916,0.0,89,42973,75,132,186,174,144,186,19,17,91,,,2.44,17,26,21,12,46,52,35,25,53,58,,66,9,53,3,11
59508,QUALITY CLINICIANS CARE HOME HEALTH SERVICES LLC,"3033 MOORPARK AVENUE, SUITE 26",SAN JOSE,CA,95128,509,381,14.9,8.5,4.6,1.5,0.1,0.3,0.0,1606256,2023184,1317899,0.6,26,13369,76,133,248,78,303,104,44,135,91,,,1.89,12,28,18,5,30,37,19,27,51,72,,42,22,52,12,10
